# old-name  new-name  path-under-.pi/skills   (installer migration for <= 4.9.x; see install.sh)
distributed-systems pi-distributed-systems architecture/distributed-systems
microservices pi-microservices architecture/microservices
resilience pi-resilience architecture/resilience
security pi-security architecture/security
system-design pi-system-design architecture/system-design
backend-audit pi-backend-audit audit/backend
backend-craft-audit pi-backend-craft-audit audit/backend-craft
frontend-audit pi-frontend-audit audit/frontend
frontend-craft-audit pi-frontend-craft-audit audit/frontend-craft
kubernetes-audit pi-kubernetes-audit audit/kubernetes
production-audit pi-production-audit audit/production
security-audit pi-security-audit audit/security
code-review pi-code-review coding/code-review
database-postgres pi-database-postgres coding/database
dotnet-backend pi-dotnet-backend coding/dotnet
generic-backend pi-generic-backend coding/generic
react-frontend pi-react-frontend coding/react
testing pi-testing coding/testing
dotnet-aspire pi-dotnet-aspire infrastructure/aspire
docker pi-docker infrastructure/docker
kubernetes pi-kubernetes infrastructure/kubernetes
observability pi-observability infrastructure/observability
project-discovery pi-project-discovery project-discovery
api-gateway pi-api-gateway services/api-gateway
auth-service pi-auth-service services/auth
background-jobs pi-background-jobs services/background-jobs
notification-service pi-notification-service services/notifications
payment-service pi-payment-service services/payments
verification pi-verification verification
engineering-reasoning pi-engineering-reasoning workflow/engineering-reasoning
independent-verifier pi-independent-verifier workflow/independent-verifier
scope-control pi-scope-control workflow/scope-control
